deid,subject,final_grade_percent,final_grade_letter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,age,gender
9756469,biol,90.61,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
9661664,biol,70.38,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,Male
9807351,phys,60.23,D,4,4,3,4,5,5,3,NA,3,4,18,Female
9562774,phys,81.03,B,4,3,4,4,4,3,4,NA,2,4,20,Female
9524967,phys,63.06,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9581579,biol,75.54,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
102078,biol,89.37,B,3,4,4,3,4,4,4,3,4,3,20,Female
102671,biol,88.34,B,3,2,3,4,3,2,2,3,3,3,24,Male
9814485,phys,70.87,C,3,4,3,4,5,4,3,NA,5,5,19,Male
9723601,biol,87.69,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Female
9559192,nurs,NA,NA,3,3,3,3,3,3,3,NA,3,3,20,Female
9326603,biol,69.55,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Female
9800798,csci,94.69,A,5,5,5,5,5,4,5,NA,5,5,18,Male
9599950,nurs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female
9612006,biol,89.39,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,Male
100025,biol,72.8,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male
9746446,biol,90.35,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
9715348,biol,97.23,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,Male
8622059,biol,84.29,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,Male
9497901,biol,82.31,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,Male
9774729,biol,88.26,B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,Female
